tag:Ps-chapter-138 -is:review

Psalm:117 (score=175.78571428571428)
Psalm:100 (score=118.97058823529412)
Psalm:134 (score=117.5)
Psalm:131 (score=99.07692307692308)
Psalm:123 (score=98.88888888888889)
Psalm:121 (score=93.92682926829268)
Psalm:3 (score=93.0925925925926)
Psalm:113 (score=92.425)
Psalm:138 (score=89.65517241379311)
Psalm:67 (score=89.0)
Psalm:13 (score=87.52380952380952)
Psalm:54 (score=87.45098039215686)
Psalm:115 (score=85.76470588235294)
Psalm:130 (score=85.62162162162163)
Psalm:14 (score=84.19298245614036)
Psalm:47 (score=82.51063829787235)
Psalm:99 (score=82.5)
Psalm:128 (score=80.47222222222223)
Psalm:70 (score=80.21052631578948)
Psalm:133 (score=79.90625)
Psalm:125 (score=79.55263157894737)
Psalm:1 (score=78.64444444444445)
Psalm:24 (score=78.53703703703704)
Psalm:95 (score=77.78787878787878)

Psalm:85 (score=77.53731343283582)
Psalm:98 (score=76.61818181818182)
Psalm:124 (score=76.05128205128206)
Psalm:23 (score=73.79245283018868)
Psalm:86 (score=73.39080459770115)
Psalm:146 (score=72.62903225806451)
Psalm:41 (score=72.56626506024097)
Psalm:82 (score=71.16666666666667)
Psalm:56 (score=70.86842105263158)
Psalm:143 (score=70.79518072289157)
Psalm:53 (score=70.63793103448276)
Psalm:8 (score=70.23728813559322)
Psalm:4 (score=70.06349206349206)
Psalm:97 (score=69.8840579710145)
Psalm:61 (score=69.85185185185185)
Psalm:20 (score=69.4)
Psalm:75 (score=69.37288135593221)
Psalm:96 (score=68.91044776119404)
Psalm:129 (score=68.88636363636364)
Psalm:43 (score=68.8409090909091)
Psalm:136 (score=68.36923076923077)
Psalm:142 (score=68.2280701754386)
Psalm:12 (score=66.71666666666667)
Psalm:122 (score=66.43181818181819)
Psalm:52 (score=65.91549295774648)
Psalm:25 (score=65.82608695652173)
Psalm:148 (score=65.67605633802818)
Psalm:29 (score=65.5625)
Psalm:87 (score=65.38095238095238)
Psalm:120 (score=65.33333333333333)
Psalm:28 (score=65.09375)
Psalm:33 (score=65.0673076923077)
Psalm:149 (score=65.0377358490566)
Psalm:42 (score=64.98684210526316)
Psalm:16 (score=64.82894736842105)
Psalm:112 (score=64.55555555555556)
Psalm:135 (score=64.43617021276596)
Psalm:101 (score=64.43103448275862)
Psalm:15 (score=64.27272727272727)
Psalm:36 (score=64.02439024390245)
Psalm:116 (score=63.876543209876544)
Psalm:26 (score=63.720588235294116)
Psalm:64 (score=63.171875)
Psalm:84 (score=62.9125)
Psalm:21 (score=62.46153846153846)
Psalm:127 (score=62.30434782608695)
Psalm:110 (score=61.943396226415096)
Psalm:118 (score=61.70967741935484)
Psalm:6 (score=61.693548387096776)
Psalm:5 (score=61.59550561797753)
Psalm:108 (score=61.07692307692308)
Psalm:92 (score=61.02298850574713)
Psalm:62 (score=60.776315789473685)
Psalm:11 (score=60.75)
Psalm:27 (score=60.64356435643565)
Psalm:59 (score=60.4811320754717)
Psalm:137 (score=60.46296296296296)
Psalm:30 (score=60.40277777777778)
Psalm:145 (score=60.077777777777776)
Psalm:76 (score=59.84415584415584)
Psalm:46 (score=59.013888888888886)
Psalm:79 (score=58.78)
Psalm:32 (score=58.73170731707317)
Psalm:140 (score=58.674157303370784)
Psalm:66 (score=58.58095238095238)
Psalm:48 (score=58.53488372093023)
Psalm:90 (score=58.01052631578948)
Psalm:9 (score=57.77142857142857)
Psalm:57 (score=57.294117647058826)
Psalm:63 (score=57.18055555555556)
Psalm:10 (score=56.964285714285715)
Psalm:103 (score=55.91089108910891)
Psalm:34 (score=55.885714285714286)
Psalm:88 (score=55.531531531531535)
Psalm:2 (score=55.42666666666667)
Psalm:81 (score=55.148936170212764)
Psalm:39 (score=54.94897959183673)
Psalm:94 (score=54.82727272727273)
Psalm:71 (score=54.672)
Psalm:141 (score=54.35897435897436)
Psalm:83 (score=54.14150943396226)
Psalm:111 (score=54.113207547169814)
Psalm:93 (score=53.96969696969697)
Psalm:72 (score=53.47663551401869)
Psalm:50 (score=52.776119402985074)
Psalm:132 (score=52.344086021505376)
Psalm:126 (score=51.94444444444444)
Psalm:7 (score=51.91346153846154)
Psalm:31 (score=51.59477124183007)
Psalm:91 (score=51.56382978723404)
Psalm:80 (score=51.371428571428574)
Psalm:147 (score=51.31531531531532)
Psalm:109 (score=50.755102040816325)
Psalm:38 (score=50.554621848739494)
Psalm:77 (score=50.517857142857146)
Psalm:114 (score=49.97222222222222)
Psalm:40 (score=49.945736434108525)
Psalm:17 (score=48.97959183673469)
Psalm:102 (score=48.58571428571429)
Psalm:49 (score=48.4070796460177)
Psalm:74 (score=47.70289855072464)
Psalm:58 (score=47.5679012345679)
Psalm:44 (score=47.458015267175576)
Psalm:139 (score=47.15625)
Psalm:51 (score=46.73873873873874)
Psalm:35 (score=46.68707482993197)
Psalm:55 (score=46.28378378378378)
Psalm:37 (score=45.41025641025641)
Psalm:22 (score=44.76969696969697)
Psalm:19 (score=44.13725490196079)
Psalm:105 (score=43.05524861878453)
Psalm:144 (score=42.43010752688172)
Psalm:69 (score=42.17616580310881)
